age,arab,children_0_1,children_0_17,children_2_4,children_5_9,children_10_14,children_15_17,highest_cert,lf_char,marital,schooling,week_hours,yeshiva
21,0,0,0,0,0,0,0,3,6,4,12,0,0
24,0,0,1,0,1,0,0,5,6,4,16,0,0
52,0,0,1,0,0,1,0,2,6,1,12,0,0
20,0,0,2,0,1,0,1,3,6,4,12,0,0
17,0,0,3,0,0,2,1,1,6,4,9,0,0
81,0,0,0,0,0,0,0,9,6,3,,0,0
23,0,0,1,0,0,1,0,3,6,4,12,0,0
71,0,0,0,0,0,0,0,1,6,1,3,0,0
62,0,0,0,0,0,0,0,2,6,1,10,0,0
68,0,0,1,0,0,1,0,0,6,1,0,0,0
48,0,0,2,0,1,0,1,2,6,1,12,0,0
22,0,0,2,0,1,0,1,5,6,4,16,0,0
57,0,0,0,0,0,0,0,1,6,1,10,0,0
19,0,0,0,0,0,0,0,3,6,4,12,0,0
35,0,1,5,2,2,0,0,3,6,1,12,0,0
52,0,0,0,0,0,0,0,1,6,4,8,0,0
25,0,0,0,0,0,0,0,1,6,4,11,0,1
20,0,0,0,0,0,0,0,9,6,4,11,0,1
19,0,0,0,0,0,0,0,2,6,4,10,0,1
18,0,0,0,0,0,0,0,9,6,4,6,0,1
57,0,0,0,0,0,0,0,1,6,2,10,0,0
64,0,0,0,0,0,0,0,3,6,1,11,0,0
57,0,0,0,0,0,0,0,1,5,4,10,0,0
16,0,0,4,0,1,2,1,1,6,4,11,0,0
33,0,1,6,2,3,0,0,3,6,1,27,0,1
48,0,0,2,0,0,0,2,8,6,1,17,0,1
19,0,0,2,0,0,0,2,2,6,4,13,0,0
15,0,0,2,0,0,0,2,9,6,4,9,0,0
32,0,0,2,1,1,0,0,4,6,1,25,0,1
31,0,1,3,0,2,0,0,1,6,1,25,0,1
70,0,1,1,0,0,0,0,3,6,1,12,0,0
70,0,0,0,0,0,0,0,2,6,1,11,0,0
64,0,0,0,0,0,0,0,4,6,1,16,0,0
67,0,0,0,0,0,0,0,2,6,1,10,0,0
63,0,0,0,0,0,0,0,2,5,1,12,0,0
67,0,0,0,0,0,0,0,2,6,1,12,0,0
74,0,0,0,0,0,0,0,4,6,1,15,0,0
16,0,0,1,0,0,0,1,1,6,4,11,0,0
76,0,0,0,0,0,0,0,4,6,1,13,0,0
16,0,0,3,0,1,1,1,1,6,4,11,0,0
44,0,0,0,0,0,0,0,5,5,4,15,0,0
20,0,0,0,0,0,0,0,3,6,4,12,0,0
23,0,0,1,0,0,0,1,3,6,4,12,0,0
15,0,0,1,0,0,0,1,1,6,4,10,0,0
31,0,0,0,0,0,0,0,2,5,4,12,0,0
